shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape-2214,42.797901,-77.819293,99,1.7113042829964384
shape-2214,42.797882,-77.819132,100,1.724609076815487
shape-2214,42.79785,-77.81887,101,1.746279772409051
shape-2214,42.797836,-77.818753,102,1.7559519037854945
shape-2214,42.797823,-77.818646,103,1.764800903632671
shape-2214,42.797758,-77.818075,104,1.8119461592542125
shape-2214,42.797747,-77.817895,105,1.8266832296650801
shape-2214,42.797746,-77.817844,106,1.8308458121425242
shape-2214,42.797758,-77.817618,107,1.8493333975791377
shape-2214,42.797781,-77.817196,108,1.8838592755879133
shape-2214,42.797772,-77.816958,109,1.9033034895606926
shape-2214,42.797729,-77.816626,110,1.9308101671703604
shape-2214,42.797709,-77.816464,111,1.944213558803434
shape-2214,42.798827,-77.816211,112,2.0702317957219334
shape-2214,42.799075,-77.816154,113,2.098197571328103
shape-2214,42.799285,-77.816107,114,2.1218613068898144
shape-2214,42.799975,-77.81595,115,2.1996478383193234
shape-2214,42.800067,-77.815822,116,2.214266707068382
shape-2214,42.80005,-77.815674,117,2.22648866465235
shape-2214,42.800003,-77.815217,118,2.2641384704021665
shape-2214,42.799827,-77.81367,119,2.3918622176436797
shape-2214,42.799376,-77.809703,120,2.719382696945622
shape-2214,42.799366,-77.809613,121,2.7268093317006232
shape-2214,42.799132,-77.80756,122,2.8963187271541506
shape-2214,42.799047,-77.806831,123,2.956542936191976
shape-2214,42.799038,-77.806752,124,2.9630656504158104
shape-2214,42.79903,-77.806685,125,2.9686039828513455
shape-2214,42.798287,-77.806835,126,3.0521234675062296
shape-2214,42.797209,-77.807053,127,3.1733042366975917
shape-2214,42.79712,-77.807071,128,3.183308981226478
shape-2214,42.797028,-77.80709,129,3.1936557234317027
shape-2214,42.79598,-77.807305,130,3.31150115414305
shape-2214,42.795764,-77.80735,131,3.335798320229784
shape-2214,42.795375,-77.80743,132,3.3795429583880137
shape-2214,42.795151,-77.807476,133,3.404731862496197
shape-2214,42.795165,-77.807594,134,3.414484941386682
shape-2214,42.795307,-77.808795,135,3.513742616689443
shape-2214,42.795317,-77.80888,136,3.5207666246420826
shape-2214,42.795409,-77.809669,137,3.585951459251953
shape-2214,42.795711,-77.812353,138,3.807506826706423
shape-2214,42.795893,-77.813924,139,3.937276685925781
shape-2214,42.795967,-77.81448,140,3.9833823373069404
shape-2214,42.796105,-77.815657,141,4.080634809083523
shape-2214,42.796115,-77.815745,142,4.087900522216495
shape-2214,42.796217,-77.816617,143,4.159947284888438
shape-2214,42.796228,-77.816718,144,4.1682783703230495
shape-2214,42.796251,-77.816719,145,4.170837158845835
shape-2214,42.796264,-77.816727,146,4.17242323595028
shape-2214,42.796272,-77.816732,147,4.173401883052833
shape-2214,42.796287,-77.816755,148,4.175912594648288
shape-2214,42.796296,-77.816784,149,4.178481693933323
shape-2214,42.796295,-77.816815,150,4.18101349051107
shape-2214,42.796285,-77.816844,151,4.183627910919166
shape-2214,42.796269,-77.816865,152,4.186097957150201
shape-2214,42.796247,-77.816876,153,4.18870369609112
shape-2214,42.796224,-77.816875,154,4.191262484614007
shape-2214,42.796203,-77.816862,155,4.193827198823858
shape-2214,42.796188,-77.81684,156,4.196277526247022
shape-2214,42.79618,-77.81681,157,4.198881921868408
shape-2214,42.796154,-77.816816,158,4.2018141502722655
shape-2214,42.795523,-77.816959,159,4.2729417718231515
shape-2214,42.795504,-77.816963,160,4.275079539219314
shape-2214,42.794936,-77.817092,161,4.339109404010962
shape-2214,42.794597,-77.817169,162,4.377324536987517
shape-2214,42.794534,-77.817183,163,4.384422353814804
shape-2214,42.794539,-77.817234,164,4.388620643194224
shape-2214,42.794646,-77.818285,165,4.475197680264518
shape-2214,42.79472,-77.81912,166,4.543823908070518
shape-2214,42.794745,-77.819227,167,4.552986362501655
