osmid,y,x,street_count,highway,ref,railway,junction,geometry
1743973312,12.4191901,107.5836948,3,,,,,POINT (107.5836948 12.4191901)
1743973348,12.4241164,107.5834732,4,,,,,POINT (107.5834732 12.4241164)
1743973394,12.4287966,107.5859017,3,,,,,POINT (107.5859017 12.4287966)
1743973476,12.4352488,107.5917607,3,,,,,POINT (107.5917607 12.4352488)
1743973490,12.4365829,107.5927327,3,,,,,POINT (107.5927327 12.4365829)
1743973502,12.4376323,107.5942558,3,,,,,POINT (107.5942558 12.4376323)
1743973585,12.4449484,107.6011157,3,,,,,POINT (107.6011157 12.4449484)
1743980877,12.4130466,107.5818206,3,,,,,POINT (107.5818206 12.4130466)
1743980878,12.4150185,107.5833365,3,,,,,POINT (107.5833365 12.4150185)
1743980916,12.4197204,107.5836476,3,,,,,POINT (107.5836476 12.4197204)
1743993628,12.3656654,107.5699861,3,,,,,POINT (107.5699861 12.3656654)
1743993710,12.3866162,107.5726523,3,,,,,POINT (107.5726523 12.3866162)
1743993720,12.3913684,107.5689987,3,,,,,POINT (107.5689987 12.3913684)
1743993727,12.3932035,107.5711465,3,,,,,POINT (107.5711465 12.3932035)
1743993734,12.3963566,107.5727847,3,,,,,POINT (107.5727847 12.3963566)
1743993738,12.3999665,107.5743296,3,,,,,POINT (107.5743296 12.3999665)
1743993745,12.4068875,107.5781437,3,,,,,POINT (107.5781437 12.4068875)
1743993754,12.4097218,107.5795707,3,,,,,POINT (107.5795707 12.4097218)
1760559126,12.2016054,107.4612946,3,,,,,POINT (107.4612946 12.2016054)
1760559315,12.2386838,107.4376738,3,,,,,POINT (107.4376738 12.2386838)
1760560855,12.2137414,107.4531998,3,,,,,POINT (107.4531998 12.2137414)
1760560860,12.2140196,107.4533889,3,,,,,POINT (107.4533889 12.2140196)
1760560874,12.2152121,107.4534868,3,,,,,POINT (107.4534868 12.2152121)
1760560879,12.2156787,107.4575946,3,,,,,POINT (107.4575946 12.2156787)
1760567545,12.2130234,107.4378219,3,,,,,POINT (107.4378219 12.2130234)
1760567547,12.2134562,107.4366431,3,,,,,POINT (107.4366431 12.2134562)
1760567548,12.2143736,107.4512102,3,,,,,POINT (107.4512102 12.2143736)
1760567549,12.2148044,107.4504102,3,,,,,POINT (107.4504102 12.2148044)
1760567550,12.2150902,107.4528202,3,,,,,POINT (107.4528202 12.2150902)
1760567553,12.2158727,107.4528743,3,,,,,POINT (107.4528743 12.2158727)
1768284039,12.0022209,107.5637933,3,,,,,POINT (107.5637933 12.0022209)
1768284049,12.0117188,107.5662795,3,,,,,POINT (107.5662795 12.0117188)
1768284060,12.027105,107.5535589,3,,,,,POINT (107.5535589 12.027105)
1768284062,12.0289908,107.5582163,3,,,,,POINT (107.5582163 12.0289908)
1768284066,12.0299931,107.5511433,3,,,,,POINT (107.5511433 12.0299931)
1768284073,12.043199,107.5511635,3,,,,,POINT (107.5511635 12.043199)
1768284091,12.0647671,107.5450292,3,,,,,POINT (107.5450292 12.0647671)
1768284107,12.0704135,107.4877938,3,,,,,POINT (107.4877938 12.0704135)
1768284132,12.0804588,107.4738446,3,,,,,POINT (107.4738446 12.0804588)
1768284150,12.0831194,107.5358064,3,,,,,POINT (107.5358064 12.0831194)
1768284161,12.0895045,107.4961406,3,,,,,POINT (107.4961406 12.0895045)
1768284162,12.090568,107.5174588,3,,,,,POINT (107.5174588 12.090568)
1768312588,12.09232,107.3984801,1,,,,,POINT (107.3984801 12.09232)
1768313594,12.0943218,107.4658477,3,,,,,POINT (107.4658477 12.0943218)
