osmid,y,x,street_count,junction,highway,ref,railway,geometry
995292639,20.9537357,107.0226264,4,,,,,POINT (107.0226264 20.9537357)
995292669,20.9517674,107.0243832,4,,,,,POINT (107.0243832 20.9517674)
995292911,20.9568973,107.0186094,4,,,,,POINT (107.0186094 20.9568973)
995292922,20.9405391,106.9900648,3,,,,,POINT (106.9900648 20.9405391)
995292925,20.9590629,107.018409,4,,,,,POINT (107.018409 20.9590629)
995293118,20.9518589,107.0244818,4,,,,,POINT (107.0244818 20.9518589)
995293145,20.9346074,106.9947767,4,,,,,POINT (106.9947767 20.9346074)
995293484,20.9405604,106.9903361,3,,,,,POINT (106.9903361 20.9405604)
1234532312,20.9621618,107.0787892,3,,,,,POINT (107.0787892 20.9621618)
1234532326,20.9590442,107.0728579,3,,,,,POINT (107.0728579 20.9590442)
1234532332,20.9589623,107.0846732,3,,,,,POINT (107.0846732 20.9589623)
1234532376,20.9593216,107.0828937,3,,,,,POINT (107.0828937 20.9593216)
1234539399,20.951745,107.0854671,3,,,,,POINT (107.0854671 20.951745)
1234539404,20.9535052,107.0856463,3,,,,,POINT (107.0856463 20.9535052)
1234539408,20.9548872,107.0856553,4,,,,,POINT (107.0856553 20.9548872)
1234539416,20.9530499,107.0856332,3,,,,,POINT (107.0856332 20.9530499)
1234539418,20.9562041,107.0856043,3,,,,,POINT (107.0856043 20.9562041)
1234550193,20.9585028,107.0674204,3,,,,,POINT (107.0674204 20.9585028)
1234550197,20.9518185,107.0733887,3,,,,,POINT (107.0733887 20.9518185)
1234550199,20.9555199,107.0685688,3,,,,,POINT (107.0685688 20.9555199)
1234550202,20.9518798,107.085139,3,,,,,POINT (107.085139 20.9518798)
1234550214,20.9507591,107.0743015,3,,,,,POINT (107.0743015 20.9507591)
1234557055,21.0005655,107.1141216,3,,,,,POINT (107.1141216 21.0005655)
1234557070,21.0201752,107.1167732,4,,,,,POINT (107.1167732 21.0201752)
1234557071,21.0473463,107.103795,3,,,,,POINT (107.103795 21.0473463)
1234557072,20.9674608,107.082957,3,,,,,POINT (107.082957 20.9674608)
1234557081,21.0416019,107.1080611,4,,,,,POINT (107.1080611 21.0416019)
1234557082,20.9667623,107.0835444,3,,,,,POINT (107.0835444 20.9667623)
1234557084,20.973614,107.0825767,3,,,,,POINT (107.0825767 20.973614)
1234557101,20.9678953,107.0827277,3,,,,,POINT (107.0827277 20.9678953)
1234557120,20.993276,107.1087813,3,,,,,POINT (107.1087813 20.993276)
1234612466,20.9681566,107.0197552,3,,,,,POINT (107.0197552 20.9681566)
1234612469,20.9543263,107.0243711,3,,,,,POINT (107.0243711 20.9543263)
1234612475,20.9489211,107.0353408,3,,,,,POINT (107.0353408 20.9489211)
1234612484,20.9592337,107.0217113,3,,,,,POINT (107.0217113 20.9592337)
1234612486,20.9560353,107.0493404,3,,,,,POINT (107.0493404 20.9560353)
1234612507,20.9724454,107.0162875,5,,,,,POINT (107.0162875 20.9724454)
1234612521,20.9470847,107.0300187,4,,,,,POINT (107.0300187 20.9470847)
1234612535,20.9574192,107.023108,3,,,,,POINT (107.023108 20.9574192)
1234612536,20.9630075,107.0594714,3,,,,,POINT (107.0594714 20.9630075)
1234612546,20.9607796,107.0621173,3,,,,,POINT (107.0621173 20.9607796)
1234612555,20.9538226,107.0456645,3,,,,,POINT (107.0456645 20.9538226)
1234612569,20.9686032,107.0195411,3,,,,,POINT (107.0195411 20.9686032)
1234612587,20.9510146,107.0406308,4,,,,,POINT (107.0406308 20.9510146)
1234612594,20.9606416,107.0208494,3,,,,,POINT (107.0208494 20.9606416)
