osmid,y,x,street_count,highway,ref,junction,railway,geometry
8796436045,21.3050048,105.8211085,3,,,,,POINT (105.8211085 21.3050048)
8796436047,21.3055792,105.8217816,1,,,,,POINT (105.8217816 21.3055792)
8796436050,21.3048245,105.8170643,3,,,,,POINT (105.8170643 21.3048245)
8796436053,21.3017365,105.8193266,3,,,,,POINT (105.8193266 21.3017365)
8796436054,21.3016487,105.8195044,3,,,,,POINT (105.8195044 21.3016487)
8796436063,21.3043102,105.8222011,3,,,,,POINT (105.8222011 21.3043102)
8796436064,21.3056633,105.8186102,3,,,,,POINT (105.8186102 21.3056633)
8796436065,21.3048788,105.818465,1,,,,,POINT (105.818465 21.3048788)
8796436075,21.3029722,105.8184248,3,,,,,POINT (105.8184248 21.3029722)
8796489162,21.2985635,105.8163834,3,,,,,POINT (105.8163834 21.2985635)
8796489175,21.2980613,105.8141999,3,,,,,POINT (105.8141999 21.2980613)
8796489186,21.2972105,105.8168134,3,,,,,POINT (105.8168134 21.2972105)
8796489190,21.297087,105.8164485,3,,,,,POINT (105.8164485 21.297087)
8796489197,21.2970759,105.8146012,3,,,,,POINT (105.8146012 21.2970759)
8796524660,21.2963743,105.8084141,3,,,,,POINT (105.8084141 21.2963743)
8796524664,21.2969681,105.8079171,3,,,,,POINT (105.8079171 21.2969681)
8796524666,21.2983967,105.8061487,3,,,,,POINT (105.8061487 21.2983967)
8796524682,21.2989369,105.804916,1,,,,,POINT (105.804916 21.2989369)
8796524690,21.2972538,105.8057234,3,,,,,POINT (105.8057234 21.2972538)
8796524691,21.2972443,105.8065676,1,,,,,POINT (105.8065676 21.2972443)
8796524697,21.2974098,105.8054784,3,,,,,POINT (105.8054784 21.2974098)
8796591739,21.2960744,105.8086241,3,,,,,POINT (105.8086241 21.2960744)
8796591743,21.2955698,105.809378,3,,,,,POINT (105.809378 21.2955698)
8796591746,21.2949264,105.8143389,3,,,,,POINT (105.8143389 21.2949264)
8796591758,21.2939358,105.8145875,3,,,,,POINT (105.8145875 21.2939358)
8796591769,21.2939104,105.8159577,1,,,,,POINT (105.8159577 21.2939104)
8796591773,21.2940657,105.8057793,3,,,,,POINT (105.8057793 21.2940657)
8804708467,21.2907414,105.8168625,3,,,,,POINT (105.8168625 21.2907414)
8804708478,21.289933,105.816036,3,,,,,POINT (105.816036 21.289933)
8804708480,21.2898003,105.8158399,3,,,,,POINT (105.8158399 21.2898003)
8804708499,21.2921317,105.8093251,3,,,,,POINT (105.8093251 21.2921317)
8804708500,21.2919408,105.809709,3,,,,,POINT (105.809709 21.2919408)
8804708501,21.2924567,105.8088037,1,,,,,POINT (105.8088037 21.2924567)
8804768258,21.2934197,105.8053399,3,,,,,POINT (105.8053399 21.2934197)
8804768273,21.2967941,105.8179145,3,,,,,POINT (105.8179145 21.2967941)
8804768276,21.2941038,105.8168844,3,,,,,POINT (105.8168844 21.2941038)
8804768278,21.297407,105.8173109,3,,,,,POINT (105.8173109 21.297407)
8804768298,21.2951736,105.813845,3,,,,,POINT (105.813845 21.2951736)
8804821011,21.2934,105.8143707,3,,,,,POINT (105.8143707 21.2934)
8804829217,21.2928324,105.8124604,3,,,,,POINT (105.8124604 21.2928324)
8804829218,21.2931596,105.8117789,3,,,,,POINT (105.8117789 21.2931596)
8804829219,21.2940397,105.8112402,3,,,,,POINT (105.8112402 21.2940397)
8804829226,21.2936538,105.8120457,3,,,,,POINT (105.8120457 21.2936538)
8804829228,21.2935143,105.8127991,3,,,,,POINT (105.8127991 21.2935143)
8804831019,21.2919169,105.8119401,3,,,,,POINT (105.8119401 21.2919169)
8804842645,21.1685144,105.6944787,3,,,,,POINT (105.6944787 21.1685144)
8804842648,21.1672278,105.69428,3,,,,,POINT (105.69428 21.1672278)
8804842649,21.168496,105.6946961,3,,,,,POINT (105.6946961 21.168496)
8804842652,21.1671723,105.6944776,3,,,,,POINT (105.6944776 21.1671723)
8804842655,21.1671128,105.6946892,3,,,,,POINT (105.6946892 21.1671128)
8804842656,21.1684025,105.6955402,3,,,,,POINT (105.6955402 21.1684025)
8804842657,21.1669312,105.6953352,3,,,,,POINT (105.6953352 21.1669312)
8804842658,21.1684473,105.6922008,1,,,,,POINT (105.6922008 21.1684473)
8804842659,21.1689438,105.6922708,3,,,,,POINT (105.6922708 21.1689438)
8804842660,21.1644512,105.6961784,1,,,,,POINT (105.6961784 21.1644512)
8804842666,21.1642715,105.6958956,1,,,,,POINT (105.6958956 21.1642715)
8804842667,21.1643721,105.6961453,3,,,,,POINT (105.6961453 21.1643721)
8804842669,21.1641645,105.6966733,3,,,,,POINT (105.6966733 21.1641645)
8804842676,21.164303,105.7054927,1,,,,,POINT (105.7054927 21.164303)
8804842687,21.1671579,105.708687,1,,,,,POINT (105.708687 21.1671579)
8804842689,21.1679086,105.706652,1,,,,,POINT (105.706652 21.1679086)
8804842692,21.1675305,105.7067276,3,,,,,POINT (105.7067276 21.1675305)
