osmid,y,x,street_count,highway,junction,railway,ref,geometry
5733415207,10.8118229,106.5820421,3,,,,,POINT (106.5820421 10.8118229)
5733415208,10.8116583,106.5808287,1,,,,,POINT (106.5808287 10.8116583)
5733415209,10.8120537,106.5808212,3,,,,,POINT (106.5808212 10.8120537)
5733415210,10.8129387,106.5828109,1,,,,,POINT (106.5828109 10.8129387)
5733415211,10.8130117,106.58243,4,,,,,POINT (106.58243 10.8130117)
5733415212,10.8130362,106.5820947,1,,,,,POINT (106.5820947 10.8130362)
5733415213,10.8128307,106.5822074,1,,,,,POINT (106.5822074 10.8128307)
5733415215,10.8127515,106.5811162,3,,,,,POINT (106.5811162 10.8127515)
5733415216,10.8136827,106.5823999,3,,,,,POINT (106.5823999 10.8136827)
5733415217,10.8134076,106.58243,3,,,,,POINT (106.58243 10.8134076)
5733415221,10.8121251,106.582354,3,,,,,POINT (106.582354 10.8121251)
5733415222,10.8151254,106.5797666,1,,,,,POINT (106.5797666 10.8151254)
5733415224,10.8145806,106.5806085,3,,,,,POINT (106.5806085 10.8145806)
5733415225,10.8151243,106.5834102,3,,,,,POINT (106.5834102 10.8151243)
5733415228,10.8150338,106.5824924,1,,,,,POINT (106.5824924 10.8150338)
5733415229,10.8145926,106.5835436,4,,,,,POINT (106.5835436 10.8145926)
5733415234,10.8157961,106.5821285,3,,,,,POINT (106.5821285 10.8157961)
5733422876,10.8933187,106.7221871,3,,,,,POINT (106.7221871 10.8933187)
5733422877,10.8936877,106.7228375,1,,,,,POINT (106.7228375 10.8936877)
5733422879,10.8931663,106.7224223,3,,,,,POINT (106.7224223 10.8931663)
5733422896,10.8914325,106.7283188,3,,,,,POINT (106.7283188 10.8914325)
5733422897,10.8913602,106.728024,3,,,,,POINT (106.728024 10.8913602)
5733422898,10.8920641,106.7276147,1,,,,,POINT (106.7276147 10.8920641)
5733422901,10.8920328,106.7263428,1,,,,,POINT (106.7263428 10.8920328)
5733422904,10.8911065,106.7257296,3,,,,,POINT (106.7257296 10.8911065)
5733422905,10.8922415,106.7249107,1,,,,,POINT (106.7249107 10.8922415)
5733422906,10.8918341,106.7245769,3,,,,,POINT (106.7245769 10.8918341)
5733422907,10.8960022,106.7188535,1,,,,,POINT (106.7188535 10.8960022)
5733422910,10.8986441,106.7179639,1,,,,,POINT (106.7179639 10.8986441)
5733422912,10.898577,106.7177498,3,,,,,POINT (106.7177498 10.898577)
5733422920,10.8921815,106.7223391,3,,,,,POINT (106.7223391 10.8921815)
5733425621,10.8923482,106.7220401,1,,,,,POINT (106.7220401 10.8923482)
5733425622,10.8923617,106.7224788,3,,,,,POINT (106.7224788 10.8923617)
5733425623,10.8925572,106.7221749,1,,,,,POINT (106.7221749 10.8925572)
5733425624,10.8925816,106.7226261,3,,,,,POINT (106.7226261 10.8925816)
5733425625,10.8927542,106.7223387,1,,,,,POINT (106.7223387 10.8927542)
5733425626,10.8921131,106.722288,1,,,,,POINT (106.722288 10.8921131)
5733425627,10.8929105,106.7228464,3,,,,,POINT (106.7228464 10.8929105)
5733425628,10.8949706,106.7226601,1,,,,,POINT (106.7226601 10.8949706)
5733425633,10.8943992,106.7221044,3,,,,,POINT (106.7221044 10.8943992)
5733425637,10.8937834,106.7214446,3,,,,,POINT (106.7214446 10.8937834)
5733425652,10.8939931,106.7197606,3,,,,,POINT (106.7197606 10.8939931)
5733425653,10.8946266,106.7201645,3,,,,,POINT (106.7201645 10.8946266)
5733425654,10.8954073,106.7190375,3,,,,,POINT (106.7190375 10.8954073)
5733425655,10.8950744,106.718803,1,,,,,POINT (106.718803 10.8950744)
5733425656,10.8956205,106.7195184,3,,,,,POINT (106.7195184 10.8956205)
5733425659,10.895721,106.7214613,1,,,,,POINT (106.7214613 10.895721)
5733425660,10.895879,106.7212832,3,,,,,POINT (106.7212832 10.895879)
5733425661,10.8957165,106.7223698,1,,,,,POINT (106.7223698 10.8957165)
5733425664,10.8966517,106.7218319,3,,,,,POINT (106.7218319 10.8966517)
5733425665,10.8962668,106.7215608,3,,,,,POINT (106.7215608 10.8962668)
5733425669,10.8945506,106.7202582,3,,,,,POINT (106.7202582 10.8945506)
5733425670,10.8950744,106.7202072,1,,,,,POINT (106.7202072 10.8950744)
5733425671,10.8947743,106.7199392,3,,,,,POINT (106.7199392 10.8947743)
5733425673,10.8971434,106.7213311,1,,,,,POINT (106.7213311 10.8971434)
5733425680,10.8958879,106.7196253,3,,,,,POINT (106.7196253 10.8958879)
5733425681,10.8951901,106.7193463,3,,,,,POINT (106.7193463 10.8951901)
5733425686,10.8967439,106.7188849,3,,,,,POINT (106.7188849 10.8967439)
5733425687,10.8969967,106.7186585,1,,,,,POINT (106.7186585 10.8969967)
5733425688,10.8973892,106.7204579,1,,,,,POINT (106.7204579 10.8973892)
5733425689,10.8976898,106.7201835,3,,,,,POINT (106.7201835 10.8976898)
5733425690,10.8974495,106.720654,1,,,,,POINT (106.720654 10.8974495)
5733425693,10.8991459,106.7188411,1,,,,,POINT (106.7188411 10.8991459)
5733425702,10.8981867,106.719968,3,,,,,POINT (106.719968 10.8981867)
5733425708,10.8985388,106.7188067,1,,,,,POINT (106.7188067 10.8985388)
5733425709,10.8980934,106.7186974,1,,,,,POINT (106.7186974 10.8980934)
5733425710,10.8981209,106.7185128,3,,,,,POINT (106.7185128 10.8981209)
5733425711,10.8982374,106.7187618,1,,,,,POINT (106.7187618 10.8982374)
5733425712,10.898281,106.7185403,3,,,,,POINT (106.7185403 10.898281)
5733425713,10.8983888,106.7187842,1,,,,,POINT (106.7187842 10.8983888)
5733425714,10.8984261,106.7185652,3,,,,,POINT (106.7185652 10.8984261)
5733425721,10.8980369,106.7177101,3,,,,,POINT (106.7177101 10.8980369)
5733435879,10.8139925,106.5648763,1,,,,,POINT (106.5648763 10.8139925)
5733435880,10.8146255,106.5647768,3,,,,,POINT (106.5647768 10.8146255)
5733435888,10.8160304,106.5519655,1,,,,,POINT (106.5519655 10.8160304)
5733448334,10.8050156,106.7132707,1,,,,,POINT (106.7132707 10.8050156)
5733448342,10.8051877,106.7355278,1,,,,,POINT (106.7355278 10.8051877)
5733448344,10.8065972,106.7456129,1,,,,,POINT (106.7456129 10.8065972)
5733448349,10.8101891,106.7727481,1,,,,,POINT (106.7727481 10.8101891)
5733448350,10.809839,106.772561,3,,,,,POINT (106.772561 10.809839)
5733448351,10.8099939,106.7722922,3,,,,,POINT (106.7722922 10.8099939)
5733448352,10.808759,106.7960335,1,,,,,POINT (106.7960335 10.808759)
5733448364,10.8092919,106.7064608,3,,,,,POINT (106.7064608 10.8092919)
5733448365,10.8081428,106.706582,3,,,,,POINT (106.706582 10.8081428)
5733448368,10.8076642,106.7398328,1,,,,,POINT (106.7398328 10.8076642)
5733452723,10.8186352,106.8037053,3,,,,,POINT (106.8037053 10.8186352)
5733452724,10.8187848,106.8030712,1,,,,,POINT (106.8030712 10.8187848)
5733452725,10.8188025,106.8037158,3,,,,,POINT (106.8037158 10.8188025)
5733452726,10.8190166,106.8028459,1,,,,,POINT (106.8028459 10.8190166)
5733452729,10.8145445,106.8004632,3,,,,,POINT (106.8004632 10.8145445)
5733452730,10.814443,106.8009362,1,,,,,POINT (106.8009362 10.814443)
5733452731,10.8142979,106.8005541,3,,,,,POINT (106.8005541 10.8142979)
5733452735,10.8136474,106.8005767,3,,,,,POINT (106.8005767 10.8136474)
5733452740,10.8130149,106.8026181,3,,,,,POINT (106.8026181 10.8130149)
5733452741,10.8126015,106.8029425,3,,,,,POINT (106.8029425 10.8126015)
5733452743,10.8119217,106.8029076,1,,,,,POINT (106.8029076 10.8119217)
5733452748,10.8150701,106.8029076,1,,,,,POINT (106.8029076 10.8150701)
5733452759,10.8145817,106.8047883,3,,,,,POINT (106.8047883 10.8145817)
5733453035,10.8161073,106.8046173,3,,,,,POINT (106.8046173 10.8161073)
5733453045,10.8139609,106.8019312,1,,,,,POINT (106.8019312 10.8139609)
5733453047,10.8138002,106.8028151,3,,,,,POINT (106.8028151 10.8138002)
5733453072,10.8138845,106.8036837,3,,,,,POINT (106.8036837 10.8138845)
5733453384,10.7250159,106.6347256,3,,,,,POINT (106.6347256 10.7250159)
5733453405,10.7247879,106.6372805,3,,,,,POINT (106.6372805 10.7247879)
5733453411,10.7245274,106.6379249,1,,,,,POINT (106.6379249 10.7245274)
5733464465,10.808399,106.5823798,3,,,,,POINT (106.5823798 10.808399)
5733464466,10.8084124,106.5820947,1,,,,,POINT (106.5820947 10.8084124)
5733464479,10.8079006,106.5818703,3,,,,,POINT (106.5818703 10.8079006)
5733464484,10.8092081,106.5807671,1,,,,,POINT (106.5807671 10.8092081)
5733464507,10.8087918,106.5820679,1,,,,,POINT (106.5820679 10.8087918)
5733464511,10.8087312,106.5823683,3,,,,,POINT (106.5823683 10.8087312)
5733464515,10.8078648,106.5824025,4,,,,,POINT (106.5824025 10.8078648)
5733464516,10.8097439,106.583023,3,,,,,POINT (106.583023 10.8097439)
5733464524,10.8093029,106.5826097,1,,,,,POINT (106.5826097 10.8093029)
5733464526,10.8091567,106.5833371,3,,,,,POINT (106.5833371 10.8091567)
5733464527,10.8095532,106.5826365,1,,,,,POINT (106.5826365 10.8095532)
5733464529,10.8094182,106.5834104,4,,,,,POINT (106.5834104 10.8094182)
5733464530,10.8098167,106.5827143,1,,,,,POINT (106.5827143 10.8098167)
5733464533,10.8096561,106.5834771,3,,,,,POINT (106.5834771 10.8096561)
5733464534,10.8104823,106.5837091,3,,,,,POINT (106.5837091 10.8104823)
5733464538,10.8107204,106.5832213,1,,,,,POINT (106.5832213 10.8107204)
5733464539,10.8109764,106.5838525,3,,,,,POINT (106.5838525 10.8109764)
5733464541,10.8111366,106.5832159,1,,,,,POINT (106.5832159 10.8111366)
5733464544,10.8106576,106.5823116,3,,,,,POINT (106.5823116 10.8106576)
5733464546,10.8105992,106.5825775,1,,,,,POINT (106.5825775 10.8105992)
5733464548,10.8107697,106.5818496,3,,,,,POINT (106.5818496 10.8107697)
5733464554,10.8105334,106.5811495,3,,,,,POINT (106.5811495 10.8105334)
5733464558,10.8088176,106.5805326,3,,,,,POINT (106.5805326 10.8088176)
5733464561,10.8092346,106.5797663,3,,,,,POINT (106.5797663 10.8092346)
5733464562,10.8092239,106.5800402,1,,,,,POINT (106.5800402 10.8092239)
5733464563,10.8090658,106.5799516,1,,,,,POINT (106.5799516 10.8090658)
5733464568,10.8095755,106.5797591,3,,,,,POINT (106.5797591 10.8095755)
5733464572,10.8098747,106.5802091,1,,,,,POINT (106.5802091 10.8098747)
5733464574,10.8112993,106.5793737,3,,,,,POINT (106.5793737 10.8112993)
5733464575,10.8111235,106.5794045,1,,,,,POINT (106.5794045 10.8111235)
5733464576,10.8113105,106.5794608,1,,,,,POINT (106.5794608 10.8113105)
5733464578,10.8112677,106.578982,3,,,,,POINT (106.578982 10.8112677)
5733464579,10.810993,106.5797652,1,,,,,POINT (106.5797652 10.810993)
5733464582,10.8105234,106.5798335,3,,,,,POINT (106.5798335 10.8105234)
5733464583,10.8108903,106.5793052,1,,,,,POINT (106.5793052 10.8108903)
5733464585,10.810864,106.5789121,3,,,,,POINT (106.5789121 10.810864)
5733481138,10.770348,106.7805022,3,,,,,POINT (106.7805022 10.770348)
5733481139,10.769951,106.7800471,1,,,,,POINT (106.7800471 10.769951)
5733481141,10.766936,106.7797971,1,,,,,POINT (106.7797971 10.766936)
5733481142,10.767692,106.7798665,3,,,,,POINT (106.7798665 10.767692)
5733481145,10.7672248,106.7793974,1,,,,,POINT (106.7793974 10.7672248)
5733481166,10.7669641,106.7773003,4,,,,,POINT (106.7773003 10.7669641)
5733481167,10.7674162,106.7772523,1,,,,,POINT (106.7772523 10.7674162)
5733481169,10.7669314,106.7767681,3,,,,,POINT (106.7767681 10.7669314)
5733481171,10.7673806,106.7765804,1,,,,,POINT (106.7765804 10.7673806)
5733481172,10.7680038,106.7757489,1,,,,,POINT (106.7757489 10.7680038)
5733481174,10.7683002,106.775997,1,,,,,POINT (106.775997 10.7683002)
5733481175,10.7682238,106.7757449,3,,,,,POINT (106.7757449 10.7682238)
5733481182,10.7688774,106.7761656,3,,,,,POINT (106.7761656 10.7688774)
5733481183,10.7681077,106.7772831,3,,,,,POINT (106.7772831 10.7681077)
5733481780,10.8035086,106.718043,3,,,,,POINT (106.718043 10.8035086)
5733481782,10.8010566,106.7180771,1,,,,,POINT (106.7180771 10.8010566)
5733481783,10.8013868,106.7182932,3,,,,,POINT (106.7182932 10.8013868)
5733481788,10.8000897,106.7028124,1,,,,,POINT (106.7028124 10.8000897)
5733481795,10.8005052,106.7005092,4,,,,,POINT (106.7005092 10.8005052)
5733481815,10.8000974,106.7085179,1,,,,,POINT (106.7085179 10.8000974)
5733481817,10.8004269,106.708266,3,,,,,POINT (106.708266 10.8004269)
5733482439,10.7979275,106.710862,4,,,,,POINT (106.710862 10.7979275)
5733482452,10.7977928,106.7033339,3,,,,,POINT (106.7033339 10.7977928)
5733486528,10.8962968,106.7178504,3,,,,,POINT (106.7178504 10.8962968)
5733486529,10.8972399,106.7195658,3,,,,,POINT (106.7195658 10.8972399)
5733486530,10.8975012,106.7193833,1,,,,,POINT (106.7193833 10.8975012)
5733486531,10.8969694,106.7196269,1,,,,,POINT (106.7196269 10.8969694)
5733486532,10.8971784,106.7194813,3,,,,,POINT (106.7194813 10.8971784)
5733486533,10.8967379,106.7194087,1,,,,,POINT (106.7194087 10.8967379)
5733486534,10.8969831,106.7192132,3,,,,,POINT (106.7192132 10.8969831)
5733486535,10.8963648,106.7218342,1,,,,,POINT (106.7218342 10.8963648)
5733486538,10.8961817,106.7216498,3,,,,,POINT (106.7216498 10.8961817)
5733486541,10.8953746,106.7209118,3,,,,,POINT (106.7209118 10.8953746)
5733486542,10.8947597,106.7211309,1,,,,,POINT (106.7211309 10.8947597)
5733486544,10.8942381,106.7207314,3,,,,,POINT (106.7207314 10.8942381)
5733486572,10.8968348,106.7230865,1,,,,,POINT (106.7230865 10.8968348)
5733486575,10.896868,106.7215692,1,,,,,POINT (106.7215692 10.896868)
5733486576,10.8963717,106.7216347,3,,,,,POINT (106.7216347 10.8963717)
5733486577,10.8966308,106.7213218,1,,,,,POINT (106.7213218 10.8966308)
5733486580,10.8919675,106.7243721,3,,,,,POINT (106.7243721 10.8919675)
5733486581,10.8912702,106.7239305,1,,,,,POINT (106.7239305 10.8912702)
5733486582,10.8909488,106.7244487,1,,,,,POINT (106.7244487 10.8909488)
5733488429,10.894003,106.7221151,1,,,,,POINT (106.7221151 10.894003)
5733488432,10.8935595,106.7217979,3,,,,,POINT (106.7217979 10.8935595)
5733501456,10.8073349,106.5794662,1,,,,,POINT (106.5794662 10.8073349)
5733501464,10.8080105,106.5790768,3,,,,,POINT (106.5790768 10.8080105)
5733501467,10.8086665,106.5827831,3,,,,,POINT (106.5827831 10.8086665)
5733501468,10.8084124,106.5828001,1,,,,,POINT (106.5828001 10.8084124)
5733501470,10.8083071,106.5831274,1,,,,,POINT (106.5831274 10.8083071)
5733501472,10.8073966,106.5834727,1,,,,,POINT (106.5834727 10.8073966)
5733501480,10.8094829,106.5854622,3,,,,,POINT (106.5854622 10.8094829)
5733501484,10.8103424,106.5855278,1,,,,,POINT (106.5855278 10.8103424)
5733501490,10.8084055,106.5841144,3,,,,,POINT (106.5841144 10.8084055)
5733501491,10.8086456,106.5841869,1,,,,,POINT (106.5841869 10.8086456)
5733501493,10.8095251,106.5843821,3,,,,,POINT (106.5843821 10.8095251)
5733501494,10.8097798,106.5841734,1,,,,,POINT (106.5841734 10.8097798)
5733501495,10.8095788,106.5841272,3,,,,,POINT (106.5841272 10.8095788)
5733501500,10.8105307,106.5849218,1,,,,,POINT (106.5849218 10.8105307)
5733501501,10.8101845,106.5846103,3,,,,,POINT (106.5846103 10.8101845)
5733501503,10.8105597,106.584726,1,,,,,POINT (106.584726 10.8105597)
