stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
ho chi minh city_stop_11753277694,Ký túc xã Trần Hưng Đạo,,10.767157,106.694709,,
ho chi minh city_stop_6315351599,Nguyễn Kim,,10.768379,106.695794,,
ho chi minh city_stop_7520799016,Hồ Tùng Mậu,,10.770721,106.704032,,
ho chi minh city_stop_5416310315,Bến Bạch Đằng,,10.774068,106.706644,,
ho chi minh city_stop_11811380965,Bệnh viện Nguyễn Tri Phương,,10.754686,106.670162,,
ho chi minh city_stop_4621858713,Trần Phú,,10.755225,106.672957,,
ho chi minh city_stop_4621858714,Bệnh viện Nguyễn Trãi,,10.755862,106.675111,,
ho chi minh city_stop_6315672832,Giao lộ Hàm Nghi - Tôn Thất Đạm,,10.770778,106.703058,,
ho chi minh city_stop_11793308592,Bảo tàng Tôn Đức Thắng,,10.777228,106.707092,,
ho chi minh city_stop_11775484747,Ba Son,,10.781826,106.707102,,
ho chi minh city_stop_11771724348,TTTM Sài Gòn,,10.784289,106.704322,,
ho chi minh city_stop_11775511384,TTTM Sài Gòn,,10.783821,106.704363,,
ho chi minh city_stop_11775484746,Ba Son,,10.781521,106.706830,,
ho chi minh city_stop_9471827248,Nguyễn Văn Linh,,10.729559,106.708480,,
ho chi minh city_stop_9471827252,Phạm Thái Bường,,10.727325,106.709485,,
ho chi minh city_stop_9471827246,Công viên Mỹ Kim,,10.724363,106.712294,,
ho chi minh city_stop_9471827244,Cửa hàng Chuồn chuồn Đỏ,,10.721935,106.713180,,
ho chi minh city_stop_9471827251,Sen Vàng,,10.723337,106.715565,,
ho chi minh city_stop_9471827243,Đường N,,10.723595,106.716336,,
ho chi minh city_stop_9471827254,Trần Văn Trà,,10.724031,106.721197,,
ho chi minh city_stop_9471827249,Trần Văn Trà,,10.724344,106.721391,,
ho chi minh city_stop_9471827250,Đường N,,10.723653,106.716439,,
ho chi minh city_stop_9471827245,Family Mart,,10.723528,106.715296,,
ho chi minh city_stop_9471827242,Highlands Coffee,,10.722155,106.712876,,
ho chi minh city_stop_9473097477,Trường Quốc tế Nam Sài Gòn,,10.722728,106.710013,,
ho chi minh city_stop_9473097476,Hà Huy Tập,,10.726710,106.708689,,
ho chi minh city_stop_4871042893,Đường Số 6,,10.729925,106.706807,,
ho chi minh city_stop_8985136185,Trường Đại học Công nghệ Đồng Nai,,10.984546,106.868343,,
ho chi minh city_stop_8985136188,Trường Trung học Cơ sở Trường Sa,,10.987060,106.867221,,
ho chi minh city_stop_11309193607,Khu dân cư Phú Gia 1,,10.990015,106.866119,,
ho chi minh city_stop_9005933296,Trường Tiểu học Trảng Dài,,10.991660,106.865517,,
