trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,pickup_type,drop_off_type
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_9470667880,23,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_4614188879,24,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_9042277025,25,0.0,0,0
trip_ho chi minh city_01_0_2,00:00:00,00:00:00,ho chi minh city_stop_9042277026,26,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_9042278313,0,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_9042278316,1,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_4614188880,2,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_2392398232,3,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_9470667882,4,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_3116339930,5,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_11753277690,6,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_3116339932,7,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_9470667885,8,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_3116339937,9,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_3160548850,10,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_9470667888,11,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_3160554145,12,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_3160554147,13,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_4884593221,14,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_9470667889,15,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_5417843026,16,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_11753277693,17,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_12212047755,18,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_11753277694,19,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_6315351599,20,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_9470667890,21,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_7520799016,22,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_5416310315,23,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_11811380965,24,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_4621858713,25,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_4621858714,26,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_6315672832,27,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_11793308592,28,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_11775484747,29,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_11771724348,30,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_11775511384,31,0.0,0,0
trip_ho chi minh city_01_0_3,00:00:00,00:00:00,ho chi minh city_stop_11775484746,32,0.0,0,0
trip_ho chi minh city_D2_0_4,00:00:00,00:00:00,ho chi minh city_stop_9471827248,0,0.0,0,0
trip_ho chi minh city_D2_0_4,00:00:00,00:00:00,ho chi minh city_stop_9471827252,1,0.0,0,0
trip_ho chi minh city_D2_0_4,00:00:00,00:00:00,ho chi minh city_stop_9471827246,2,0.0,0,0
trip_ho chi minh city_D2_0_4,00:00:00,00:00:00,ho chi minh city_stop_9471827244,3,0.0,0,0
trip_ho chi minh city_D2_0_4,00:00:00,00:00:00,ho chi minh city_stop_9471827251,4,0.0,0,0
trip_ho chi minh city_D2_0_4,00:00:00,00:00:00,ho chi minh city_stop_9471827243,5,0.0,0,0
trip_ho chi minh city_D2_0_4,00:00:00,00:00:00,ho chi minh city_stop_9471827254,6,0.0,0,0
trip_ho chi minh city_D2_0_5,00:00:00,00:00:00,ho chi minh city_stop_9471827249,0,0.0,0,0
trip_ho chi minh city_D2_0_5,00:00:00,00:00:00,ho chi minh city_stop_9471827250,1,0.0,0,0
trip_ho chi minh city_D2_0_5,00:00:00,00:00:00,ho chi minh city_stop_9471827245,2,0.0,0,0
trip_ho chi minh city_D2_0_5,00:00:00,00:00:00,ho chi minh city_stop_9471827242,3,0.0,0,0
trip_ho chi minh city_D2_0_5,00:00:00,00:00:00,ho chi minh city_stop_9473097477,4,0.0,0,0
trip_ho chi minh city_D2_0_5,00:00:00,00:00:00,ho chi minh city_stop_9473097476,5,0.0,0,0
trip_ho chi minh city_D2_0_5,00:00:00,00:00:00,ho chi minh city_stop_4871042893,6,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8985136185,0,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8985136188,1,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_11309193607,2,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_9005933296,3,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8985136192,4,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8985136193,5,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8985136198,6,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8985136201,7,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8985136203,8,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_11309193606,9,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8985136205,10,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8985136206,11,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8985136207,12,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8981753922,13,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_11309193605,14,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8981753919,15,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_11309193604,16,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8981753917,17,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8982859902,18,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8982859901,19,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8982859899,20,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8982859898,21,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8982859897,22,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8982859896,23,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8982859894,24,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8979998713,25,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8981741299,26,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8981741301,27,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8981741300,28,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8981741303,29,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8981741278,30,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8981741280,31,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8981741282,32,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8985136210,33,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8981741284,34,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_11869153635,35,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8981741308,36,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8981741307,37,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8981741306,38,0.0,0,0
trip_ho chi minh city_01_0_6,00:00:00,00:00:00,ho chi minh city_stop_8981741305,39,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8981741296,0,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8981741294,1,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8981741290,2,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8981741287,3,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8979998710,4,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8979998712,5,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8980118497,6,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8980118498,7,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8985418897,8,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8985418899,9,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8981741292,10,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8979998704,11,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8980118496,12,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8980118499,13,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8980118500,14,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8980118501,15,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8985418895,16,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8985418906,17,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8985418908,18,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8985418910,19,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8985418912,20,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8985928746,21,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356866,22,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356873,23,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356877,24,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356879,25,0.0,0,0
