"",Unnamed: 0,power,make_model,fuel,Company Names
9124,11363,22.0,BSA M 20,Gasoline,BSA
19967,24918,22.0,Vespa GTS 250ie,Gasoline,Vespa
6411,7957,22.0,Piaggio Carnaby 250,Gasoline,Piaggio
316,384,22.0,Kymco MXU 300,Gasoline,Kymco
14559,18115,22.0,Vespa GTV 250,Gasoline,Vespa
4158,5177,22.0,Harley-Davidson WLA,Gasoline,Harley-Davidson
23432,29316,22.0,Peugeot Satelis 250,Gasoline,Peugeot
3468,4325,22.0,Piaggio X 7,Gasoline,Piaggio
6216,7721,22.0,Aprilia Sportcity 300,Gasoline,Aprilia
950,1193,22.0,KTM Freeride E,Electric,KTM
3304,4119,22.0,Others Moto tm,Gasoline,Others
1967,2449,22.0,Peugeot Satelis 300,Gasoline,Peugeot
3730,4652,22.0,Aprilia Atlantic 300,Gasoline,Aprilia
6420,7971,22.0,Vespa GTV Via Montenapoleone SE,Gasoline,Vespa
3019,3756,22.0,Kymco Grand Dink 300,Gasoline,Kymco
1430,1789,22.0,Piaggio Carnaby 300,Gasoline,Piaggio
4237,5273,22.0,Benelli Imperiale,Gasoline,Benelli
16569,20653,20.0,Others Kosmos,Gasoline,Others
1554,1944,20.0,Polaris,Gasoline,Polaris
24735,30970,20.0,DKW,Gasoline,DKW
6448,8005,20.0,Adly Hurricane 400,Gasoline,Adly
5403,6723,20.0,Kymco UXV 700,Gasoline,Kymco
2366,2925,20.0,NSU 351 OSL,Gasoline,NSU
19181,23924,20.0,Arctic Cat DVX 300,Gasoline,Arctic
1491,1870,20.0,Yamaha X-Max 250,Gasoline,Yamaha
24818,31069,20.0,Mondial SPORT CLASSIC 125i,Gasoline,Mondial
7882,9799,20.0,Rieju MRT Cross,Gasoline,Rieju
7890,9809,20.0,Kymco Xciting 250i,Gasoline,Kymco
19453,24269,20.0,Aeon Cobra 400,Gasoline,Aeon
6378,7921,20.0,Jinling JLA,Gasoline,Jinling
4121,5128,20.0,KTM 250 Enduro,Gasoline,KTM
2111,2629,20.0,SYM Joymax 250,Gasoline,SYM
3329,4153,20.0,LEM,Gasoline,LEM
502,625,20.0,Shineray XY 250,Gasoline,Shineray
351,434,20.0,KTM 500 EXC,Gasoline,KTM
3542,4414,20.0,E-Ton Vector ST 300,Gasoline,E-Ton
20251,25258,20.0,Jinlun JL125,Gasoline,Jinlun
8449,10514,20.0,Polaris RZR 800,Gasoline,Polaris
1778,2217,20.0,Husqvarna FE 501,Gasoline,Husqvarna
7240,8998,20.0,Adly Canyon 320,Gasoline,Adly
1915,2386,20.0,CF Moto CForce 625,Gasoline,CF
17306,21576,20.0,Goes 520 Max,Gasoline,Goes
12440,15481,20.0,MZ ETZ Gespann,Gasoline,MZ
13634,16940,20.0,Ducati 450 Mark 3,Gasoline,Ducati
494,613,20.0,Others MGM Quad`s,Gasoline,Others
1345,1678,20.0,CF Moto Terralander,Gasoline,CF
27423,34370,20.0,MZ ETZ 250,Gasoline,MZ
27813,34849,20.0,Royal Enfield Thunderbird,Gasoline,Royal
78,101,20.0,Yamaha X-City 250,Gasoline,Yamaha
13636,16942,20.0,Quadro 350D,Gasoline,Quadro
26807,33595,20.0,Daelim ET 300,Gasoline,Daelim
3786,4720,20.0,Quadix Trooper 800,Diesel,Quadix
3868,4824,20.0,Yamaha Black X-Max,Gasoline,Yamaha
8547,10636,20.0,Kymco Maxxer 300,Gasoline,Kymco
8698,10813,20.0,KTM Freeride 250,Gasoline,KTM
100,126,20.0,LML Star 150,Gasoline,LML
1298,1624,20.0,Piaggio Beverly 300,Gasoline,Piaggio
15897,19776,20.0,Yamaha Versity 300,Gasoline,Yamaha
13960,17366,20.0,CF Moto Terracross,Gasoline,CF
96,122,19.0,Moto Guzzi,Gasoline,Moto
1941,2419,19.0,Moto Guzzi Ercole,Gasoline,Moto
1771,2208,19.0,Horex Resident 250,Gasoline,Horex
11783,14659,19.0,Kymco People S 300i,Gasoline,Kymco
19188,23933,19.0,Beeline Bestia,Gasoline,Beeline
664,836,19.0,Honda Forza 250,Gasoline,Honda
15256,19000,19.0,Aprilia Sportcity 200,Gasoline,Aprilia
25174,31532,19.0,Piaggio X 8,Gasoline,Piaggio
10281,12784,19.0,Bullit V-BOB 250,Gasoline,Bullit
25822,32358,19.0,Verve Moto,Gasoline,Verve
27719,34734,19.0,Skyteam Skymax,Gasoline,Skyteam
5720,7098,19.0,CF Moto Jetmax 250,Gasoline,CF
15341,19104,19.0,Gilera Runner 200,Gasoline,Gilera
10840,13493,19.0,Moto Guzzi Astore,Gasoline,Moto
7927,9860,19.0,Polaris Sportsman 500,Gasoline,Polaris
9586,11933,19.0,Junak M11,Gasoline,Junak
5498,6835,19.0,Vespa 946,Gasoline,Vespa
2217,2755,19.0,Sachs/SFM,Gasoline,Sachs/SFM
734,921,19.0,CF Moto CForce 800,Gasoline,CF
10742,13373,19.0,Honda Jazz 250,Gasoline,Honda
9166,11417,18.0,DKW SS 500,Gasoline,DKW
22630,28272,18.0,Kymco MXU 250,Gasoline,Kymco
2135,2658,18.0,Bashan BS 300,Gasoline,Bashan
1275,1599,18.0,SYM Joymax 300,Gasoline,SYM
23336,29192,18.0,Leonart Spyder,Gasoline,Leonart
