"",Unnamed: 0,power,make_model,fuel,Company Names
9335,11637,11.0,KSR Moto Worx 125,Gasoline,KSR
3369,4202,11.0,Vespa LX 125,Gasoline,Vespa
410,509,11.0,Honda PCX 125,Gasoline,Honda
327,402,11.0,Mash Seventyfive 125,Gasoline,Mash
15825,19694,11.0,Honda City Fly,Gasoline,Honda
38,48,11.0,KSR Moto Sirion 125,Gasoline,KSR
2826,3515,11.0,Vespa Sprint 125 i.e.,Gasoline,Vespa
2819,3508,11.0,Beta RR 125,Gasoline,Beta
13501,16782,11.0,Benelli 125 2 C,Gasoline,Benelli
13251,16472,11.0,Brixton Sunray 125,Gasoline,Brixton
3495,4359,11.0,Suzuki GZ 125,Gasoline,Suzuki
3422,4271,11.0,A.T.U,Gasoline,A.T.U
15610,19420,11.0,Zontes,Gasoline,Zontes
3969,4942,11.0,KSR Moto GRS 125,Gasoline,KSR
16236,20226,11.0,Derbi Boulevard 125,Gasoline,Derbi
2082,2590,11.0,Vespa Primavera,Gasoline,Vespa
25183,31543,11.0,Honda NSC 110,Gasoline,Honda
471,587,11.0,Suzuki DR 125,Gasoline,Suzuki
3182,3958,11.0,PIT Racing,Gasoline,PIT
25403,31830,11.0,Derbi Cross City 125,Gasoline,Derbi
8574,10669,11.0,Kymco CK 125,Gasoline,Kymco
8683,10794,11.0,Sachs/SFM ZZ 125,Gasoline,Sachs/SFM
8417,10475,11.0,SYM XS 125,Gasoline,SYM
9556,11902,11.0,Explorer W125,Gasoline,Explorer
25991,32572,11.0,MBK Doodo 125,Gasoline,MBK
19987,24941,11.0,Yamaha TY 125,Gasoline,Yamaha
3984,4963,11.0,Generic,Gasoline,Generic
1792,2234,11.0,Nitro Motors,Gasoline,Nitro
6846,8502,11.0,KSR Moto TW 125,Gasoline,KSR
4301,5351,11.0,Daelim Freewing F.I.,Gasoline,Daelim
1746,2176,11.0,Benelli BN 125,Gasoline,Benelli
911,1148,11.0,MZ TS 150,Gasoline,MZ
610,763,11.0,Beta RR 300,Two Stroke Gasoline,Beta
522,651,11.0,SYM Wolf SB 125 Ni,Gasoline,SYM
272,326,11.0,Kymco Agility 200,Gasoline,Kymco
589,734,11.0,Honda CB 125,Gasoline,Honda
8232,10247,11.0,Daelim S2 125,Gasoline,Daelim
3924,4891,11.0,Piaggio GTS 300,Gasoline,Piaggio
21758,27164,11.0,Bullit Hero 125,Gasoline,Bullit
8518,10599,11.0,Junak M16,Gasoline,Junak
3244,4042,11.0,Rieju SMX 125,Gasoline,Rieju
3071,3815,11.0,Brixton Haycroft 125,Gasoline,Brixton
19249,24003,11.0,Daelim VS 125,Gasoline,Daelim
14765,18379,11.0,Moto Guzzi Lodola,Gasoline,Moto
11504,14315,11.0,Masai DB125,Gasoline,Masai
4608,5732,11.0,Yamaha YS 125,Gasoline,Yamaha
261,315,11.0,Kymco People S 125,Gasoline,Kymco
4377,5451,11.0,Rieju MRT SM,Gasoline,Rieju
6578,8179,11.0,Kymco Visar 125i,Gasoline,Kymco
20359,25395,11.0,Honda Dax ST 50,Gasoline,Honda
11869,14771,11.0,Vespa LXV 125 ie Vie della Moda,Gasoline,Vespa
1725,2151,11.0,Vespa S 125,Gasoline,Vespa
6457,8014,11.0,Vespa LXV 125,Gasoline,Vespa
5114,6363,11.0,Zipp,Gasoline,Zipp
1264,1586,11.0,Kymco People 125,Gasoline,Kymco
1239,1557,11.0,Malaguti Blog 125,Gasoline,Malaguti
2291,2839,11.0,Kreidler Dice,Gasoline,Kreidler
5898,7330,11.0,Peugeot Django 125,Gasoline,Peugeot
2429,3000,11.0,Benelli TNT 125,Gasoline,Benelli
5848,7265,11.0,Brixton Felsberg 125,Gasoline,Brixton
12615,15690,11.0,Kwang Yang,Two Stroke Gasoline,Kwang
17491,21807,11.0,Derbi Variant,Gasoline,Derbi
1006,1262,11.0,Kreidler,Gasoline,Kreidler
18880,23546,11.0,Kymco Movie 125S,Gasoline,Kymco
1290,1616,11.0,Peugeot Belville,Gasoline,Peugeot
12525,15584,11.0,Daelim Freewing 125,Gasoline,Daelim
116,148,11.0,Piaggio Liberty 125,Gasoline,Piaggio
12728,15834,11.0,Honda Innova 125,Gasoline,Honda
1347,1680,11.0,Honda CBF 125,Gasoline,Honda
5539,6882,11.0,Peugeot Vivacity 125,Gasoline,Peugeot
5390,6710,11.0,Piaggio ET 4,Gasoline,Piaggio
143,179,11.0,Lifan King 125,Gasoline,Lifan
2584,3186,11.0,Zündapp KS 125 Sport,Gasoline,Zündapp
27449,34402,11.0,Verve Moto Tracker 125i,Gasoline,Verve
1376,1719,11.0,Kreidler Supermoto 125,Gasoline,Kreidler
5008,6232,11.0,MBK Flame X,Gasoline,MBK
13932,17332,11.0,Kymco Grand Dink 50,Gasoline,Kymco
14199,17655,11.0,Turbho RL 125,Gasoline,Turbho
13505,16787,11.0,FK Motors Street Scrambler,Gasoline,FK
27319,34234,11.0,Luxxon Enduro 125,Gasoline,Luxxon
27847,34895,10.0,Daelim Delfino 125,Gasoline,Daelim
12667,15759,10.0,Silence S01,Electric,Silence
214,260,10.0,Jonway,Gasoline,Jonway
26234,32873,10.0,Kymco Pulsar 125,Gasoline,Kymco
12727,15832,10.0,Arctic Cat 650,Gasoline,Arctic
11128,13843,10.0,Skyteam Cobra,Gasoline,Skyteam
11026,13725,10.0,Honda Shadow 90,Gasoline,Honda
15171,18894,10.0,Jawa 250,Gasoline,Jawa
15121,18824,10.0,Sherco 2.9,Two Stroke Gasoline,Sherco
441,546,10.0,Triumph Speed Triple S,Gasoline,Triumph
431,534,10.0,SYM SYMNH X,Gasoline,SYM
13124,16320,10.0,Schüttoff,Gasoline,Schüttoff
25073,31397,10.0,Moto Guzzi Stornello,Gasoline,Moto
25051,31360,10.0,YCF Pilot F125,Gasoline,YCF
463,579,10.0,SYM Symphony 125,Gasoline,SYM
25026,31331,10.0,VR,Gasoline,VR
14833,18465,10.0,Kymco MXU 150,Gasoline,Kymco
11277,14029,10.0,Piaggio Fly 125,Gasoline,Piaggio
4051,5046,10.0,Moto Morini Corsaro 125,Gasoline,Moto
19618,24473,10.0,REX RS 125,Gasoline,REX
133,169,10.0,Kymco Super 8,Gasoline,Kymco
13916,17313,10.0,TM EN 250 2T,Two Stroke Gasoline,TM
12,13,10.0,Kymco Agility 125,Gasoline,Kymco
5316,6610,10.0,Zündapp,Gasoline,Zündapp
5328,6629,10.0,Explorer,Gasoline,Explorer
5174,6436,10.0,SYM Super Duke,Gasoline,SYM
4912,6111,10.0,Yamaha XT 125,Gasoline,Yamaha
18762,23402,10.0,Ossa TR 280i,Two Stroke Gasoline,Ossa
22223,27758,10.0,Zündapp KS 100,Two Stroke Gasoline,Zündapp
2170,2700,10.0,IWL TR Troll 1,Two Stroke Gasoline,IWL
2039,2537,10.0,Piaggio Sfera,Gasoline,Piaggio
2056,2557,10.0,KTM 50 SX,Two Stroke Gasoline,KTM
8286,10310,10.0,Kymco DJ 125 S,Gasoline,Kymco
21227,26501,10.0,Lambretta V125,Gasoline,Lambretta
21398,26715,10.0,Others WK,Gasoline,Others
2456,3032,10.0,Keeway Cityblade,Gasoline,Keeway
2716,3366,10.0,Yamaha TZR 50,Two Stroke Gasoline,Yamaha
7760,9643,10.0,Vespa 180 SS,Gasoline,Vespa
23515,29421,10.0,Honda Derapage 50,Two Stroke Gasoline,Honda
1553,1943,10.0,SYM,Gasoline,SYM
8685,10796,10.0,Honda Super Cub,Gasoline,Honda
23469,29360,10.0,Explorer Race 125,Gasoline,Explorer
8948,11139,10.0,REX Chopper 125,Gasoline,REX
854,1078,10.0,SYM Symphony 200,Gasoline,SYM
13633,16939,10.0,Znen Classic,Gasoline,Znen
13028,16203,10.0,Sumco Luna,Gasoline,Sumco
14171,17619,10.0,Montesa,Gasoline,Montesa
19352,24140,10.0,REX Milano,Gasoline,REX
16964,21156,10.0,Malaguti Ciak 100,Two Stroke Gasoline,Malaguti
3490,4352,10.0,SYM Symphony 150,Gasoline,SYM
3395,4234,10.0,Yamaha YBR 125,Gasoline,Yamaha
3147,3905,10.0,LML Star 125,Gasoline,LML
4471,5567,10.0,Yamaha XV 125,Gasoline,Yamaha
18100,22582,8.0,Yamaha XC 125,Gasoline,Yamaha
5315,6608,8.0,PIT Racing 125,Gasoline,PIT
5327,6628,8.0,Minimoto,Gasoline,Minimoto
5753,7140,8.0,Zhejiang Jiaji / Huatian,Gasoline,Zhejiang
20201,25200,8.0,Jonway Adventure,Gasoline,Jonway
20334,25363,8.0,Sachs/SFM Eagle,Gasoline,Sachs/SFM
3432,4285,8.0,Husaberg FE 550,Gasoline,Husaberg
8076,10040,8.0,Aermacchi Ala Verde,Gasoline,Aermacchi
14883,18528,8.0,Daelim Aroma,Gasoline,Daelim
15146,18855,8.0,Calthorpe Ivory 500,Gasoline,Calthorpe
486,603,8.0,Znen,Gasoline,Znen
594,742,8.0,Horwin CR6,Electric,Horwin
10688,13308,8.0,Lambretta Li,Two Stroke Gasoline,Lambretta
15241,18977,8.0,KTM 250 XC,Two Stroke Gasoline,KTM
10915,13581,8.0,Chang - Jiang,Gasoline,Chang
11390,14167,8.0,AGM,Gasoline,AGM
26875,33683,8.0,Peugeot Elyseo 100,Two Stroke Gasoline,Peugeot
18595,23197,8.0,Electric Motion,Electric,Electric
5490,6825,8.0,Lambretta LN 125,Gasoline,Lambretta
4700,5848,8.0,Skyteam PBR 125,Gasoline,Skyteam
17744,22131,8.0,Horwin EK3,Electric,Horwin
4415,5498,8.0,Vespa GS 160,Gasoline,Vespa
4455,5550,8.0,Vespa 150 GS,Gasoline,Vespa
22719,28387,8.0,Kreidler Street 125,Gasoline,Kreidler
8660,10768,8.0,Zhongneng ZN 125 T-E,Gasoline,Zhongneng
2136,2660,8.0,Piaggio PX 150,Gasoline,Piaggio
2596,3202,8.0,HM Derapage,Two Stroke Gasoline,HM
21136,26386,8.0,Lambretta D,Gasoline,Lambretta
7495,9316,8.0,Zündapp DB 234 Nor. Luxus,Gasoline,Zündapp
1061,1333,8.0,Honda Vision 110,Gasoline,Honda
10784,13423,8.0,LML Star 151,Gasoline,LML
16810,20959,8.0,Skyteam ST 125,Gasoline,Skyteam
16076,20018,8.0,Honda Wave,Gasoline,Honda
1369,1711,8.0,Erider,Electric,Erider
1124,1414,8.0,Kymco K-Pipe 125,Gasoline,Kymco
107,136,8.0,Yamaha D'elight,Gasoline,Yamaha
27775,34802,8.0,Skyteam,Gasoline,Skyteam
1193,1500,7.0,Gilera Runner 50,Two Stroke Gasoline,Gilera
599,748,7.0,Simson,Gasoline,Simson
11848,14743,7.0,Honda HM 50,Gasoline,Honda
9963,12399,7.0,Royal Enfield Taurus,Diesel,Royal
3087,3834,7.0,Laverda 750 SFC,Gasoline,Laverda
18861,23523,7.0,Skyteam Ace,Gasoline,Skyteam
5272,6554,7.0,Benzhou YIYING,Gasoline,Benzhou
27063,33918,7.0,Ariel Motorcycles NH,Gasoline,Ariel
3252,4050,7.0,Malaguti Centro,Gasoline,Malaguti
4148,5161,7.0,DKW NZ 500,Gasoline,DKW
3976,4951,7.0,Sherco 0.5,Gasoline,Sherco
3582,4464,7.0,Ecomobile,Electric,Ecomobile
3657,4557,7.0,Tauris Capri 125,Gasoline,Tauris
26040,32639,7.0,Zongshen,Gasoline,Zongshen
11316,14078,7.0,DKW SB 200,Gasoline,DKW
15513,19303,7.0,Yamaha TT R110E,Gasoline,Yamaha
11685,14541,7.0,Yamaha Jog R,Gasoline,Yamaha
962,1208,7.0,Beta RR 50,Two Stroke Gasoline,Beta
8964,11160,7.0,Motosacoche,Gasoline,Motosacoche
23008,28775,7.0,Derbi Atlantis,Two Stroke Gasoline,Derbi
1988,2472,7.0,Royal Enfield,Diesel,Royal
2279,2826,7.0,Zündapp DB 200,Two Stroke Gasoline,Zündapp
1978,2461,7.0,Tauris Mambo 125,Gasoline,Tauris
10428,12980,7.0,Nova Motors City Star,Gasoline,Nova
1464,1834,7.0,Rieju Tango 250,Gasoline,Rieju
9003,11209,7.0,Qingqi QM 125,Gasoline,Qingqi
7281,9050,7.0,Mash Sixty Five,Gasoline,Mash
8108,10075,7.0,Skyteam T-Rex,Gasoline,Skyteam
1952,2432,7.0,Znen Revival Scooter,Gasoline,Znen
3198,3980,7.0,TM SMR 125 2T,Two Stroke Gasoline,TM
19707,24587,7.0,Peugeot Sum-up 125,Gasoline,Peugeot
15884,19760,7.0,Razory R07,Gasoline,Razory
26824,33615,5.0,Kreidler Supermoto 50,Gasoline,Kreidler
247,300,5.0,Piaggio Zip 50,Gasoline,Piaggio
10826,13476,5.0,Italjet Jet - Set 125,Gasoline,Italjet
726,911,5.0,Piaggio TPH 50,Two Stroke Gasoline,Piaggio
24873,31142,5.0,Peugeot XPS 50,Gasoline,Peugeot
444,550,5.0,TGB Bullet 50,Gasoline,TGB
25761,32279,5.0,Longjia,Gasoline,Longjia
425,526,5.0,Piaggio 50 N,Gasoline,Piaggio
12334,15356,5.0,Keeway RY8,Two Stroke Gasoline,Keeway
12709,15810,5.0,HM,Two Stroke Gasoline,HM
26320,32983,5.0,Moto Guzzi 500 Alce,Gasoline,Moto
9953,12386,5.0,Aprilia Amico 50,Diesel,Aprilia
1111,1398,5.0,Rieju MRT 50,Gasoline,Rieju
1213,1526,5.0,Govecs,Electric,Govecs
1337,1670,5.0,Polini XP 4T,Gasoline,Polini
23340,29196,5.0,Matchless,Gasoline,Matchless
8893,11069,5.0,Voge 500R,Gasoline,Voge
1728,2155,5.0,Kawasaki D-Tracker 125,Gasoline,Kawasaki
2768,3438,5.0,Moto Guzzi GTV,Gasoline,Moto
2494,3082,5.0,Peugeot Streetzone,Two Stroke Gasoline,Peugeot
21272,26557,5.0,KTM 150 XC,Two Stroke Gasoline,KTM
20751,25893,5.0,Kumpan Electric 54iconic,Electric,Kumpan
16376,20416,5.0,Kumpan Electric 1954,Electric,Kumpan
16528,20601,5.0,Motowell Crogen,Gasoline,Motowell
2116,2636,5.0,AGM GMX 450,Gasoline,AGM
2219,2757,5.0,Fantic Caballero 50,Two Stroke Gasoline,Fantic
22511,28129,5.0,Access SP 50,Gasoline,Access
22298,27856,5.0,Motowell Yoyo,Gasoline,Motowell
15586,19391,5.0,Peugeot Jet C-Tech,Gasoline,Peugeot
10036,12493,5.0,Vespa 90,Gasoline,Vespa
9765,12148,5.0,E-Max 120S,Electric,E-Max
3334,4161,5.0,Suzuki RM 50,Gasoline,Suzuki
4491,5591,5.0,Peugeot Jet Force,Diesel,Peugeot
2855,3550,5.0,Peugeot Zenith NA,Gasoline,Peugeot
17857,22285,5.0,Pegasus S 50 gp,Gasoline,Pegasus
5670,7033,5.0,Garelli GSP 50,Two Stroke Gasoline,Garelli
4508,5614,5.0,Vespa Elettrica,Electric,Vespa
4785,5951,5.0,Piaggio NRG MC3,Gasoline,Piaggio
4385,5461,5.0,Others V Moto,Electric/Gasoline,Others
4109,5114,5.0,Vectrix VX-2,Electric,Vectrix
6401,7946,5.0,Luxxon Starfighter,Two Stroke Gasoline,Luxxon
5011,6235,5.0,Vespa SS,Two Stroke Gasoline,Vespa
13114,16308,5.0,Generic Onyx,Gasoline,Generic
106,135,5.0,Kymco Dink 50,Two Stroke Gasoline,Kymco
47,61,5.0,Mash City,Gasoline,Mash
65,86,5.0,SYM GTS 300,Gasoline,SYM
27177,34061,5.0,MTR Mallorca,Gasoline,MTR
13040,16217,5.0,Trinity,Electric,Trinity
13817,17178,5.0,TGB Bullet RS,Two Stroke Gasoline,TGB
27685,34690,5.0,MBK Nitro 50,Two Stroke Gasoline,MBK
167,208,4.0,Vespa 50,Two Stroke Gasoline,Vespa
13156,16355,4.0,Herkules,Two Stroke Gasoline,Herkules
12061,15014,4.0,Aprilia Sportcity 50,Gasoline,Aprilia
10920,13586,4.0,Torrot Muvi,Electric,Torrot
493,612,4.0,REX 50,Gasoline,REX
10961,13637,4.0,Motowell Magnet,Two Stroke Gasoline,Motowell
386,476,4.0,SYM Jet 14,Gasoline,SYM
420,520,4.0,Kymco People S 50,Gasoline,Kymco
5910,7345,4.0,REX Scooter 50,Two Stroke Gasoline,REX
4806,5981,4.0,Piaggio Diesis 50,Gasoline,Piaggio
4803,5978,4.0,Beta RR Enduro,Gasoline,Beta
4532,5641,4.0,CPI Aragon 50,Two Stroke Gasoline,CPI
4320,5375,4.0,Derbi Boulevard 25/50,Gasoline,Derbi
15052,18740,4.0,Emco Novum,Electric,Emco
18709,23335,4.0,Ride Paradise 50,Gasoline,Ride
6088,7563,4.0,Vespa Hoffmann,Gasoline,Vespa
5093,6338,4.0,SYM Mio,Gasoline,SYM
18518,23100,4.0,Razory R11,Gasoline,Razory
4757,5917,4.0,Lambretta V50,Gasoline,Lambretta
5235,6510,4.0,SYM Orbit III,Gasoline,SYM
19295,24062,4.0,Daelim S4,Gasoline,Daelim
19435,24246,4.0,Futura,Electric,Futura
2598,3205,4.0,Garelli City Bike/Mosquito,Gasoline,Garelli
1092,1375,4.0,Pegasus Corona 50,Two Stroke Gasoline,Pegasus
7755,9637,4.0,CPI Aragon Club,Gasoline,CPI
3037,3776,4.0,Aprilia Sonic,Two Stroke Gasoline,Aprilia
3054,3796,4.0,SYM Red Devil,Gasoline,SYM
24870,31136,4.0,Beta Evo 125,Gasoline,Beta
916,1154,4.0,Vespa LX Touring 50,Gasoline,Vespa
6901,8570,4.0,Aprilia Rally 50,Gasoline,Aprilia
20049,25012,4.0,Kymco MXU 50,Gasoline,Kymco
19855,24772,4.0,Suzuki RM 80,Two Stroke Gasoline,Suzuki
17029,21238,4.0,Tauris Capri 50,Two Stroke Gasoline,Tauris
15510,19299,4.0,Suzuki Katana 50,Gasoline,Suzuki
14962,18631,4.0,Kreidler Flory 25,Gasoline,Kreidler
4104,5109,4.0,Futura Futura One,Electric,Futura
3919,4886,4.0,MBK Flipper,Gasoline,MBK
3942,4913,4.0,Kumpan Electric,Electric,Kumpan
3610,4498,4.0,Peugeot New Vivacity,Two Stroke Gasoline,Peugeot
3652,4552,4.0,Peugeot Citystar,Gasoline,Peugeot
14255,17724,4.0,Others Segway,Electric,Others
8904,11083,4.0,Kymco Vitality,Two Stroke Gasoline,Kymco
16198,20181,4.0,Futura Classico,Electric,Futura
1569,1965,4.0,Explorer Kallio 50,Gasoline,Explorer
8796,10944,4.0,Derbi,Gasoline,Derbi
1751,2184,4.0,Keeway RY6,Two Stroke Gasoline,Keeway
1581,1977,4.0,Piaggio Fly 50,Gasoline,Piaggio
13392,16644,4.0,KSR Moto Classic,Gasoline,KSR
5628,6987,4.0,Ride Vendetta 50,Gasoline,Ride
5606,6963,4.0,Beeline Veloce GT,Gasoline,Beeline
25,32,4.0,Piaggio NRG 50,Gasoline,Piaggio
83,106,4.0,Aprilia SR 50,Two Stroke Gasoline,Aprilia
5640,7003,4.0,Askoll eS2,Electric,Askoll
269,323,4.0,Piaggio Liberty 50,Gasoline,Piaggio
26076,32685,4.0,Razory R05,Gasoline,Razory
26925,33744,4.0,Motowell,Gasoline,Motowell
16548,20626,4.0,Efun Lipo,Electric,Efun
1517,1899,4.0,Peugeot Ludix,Gasoline,Peugeot
7130,8859,4.0,Super Soco TC,Electric,Super
2649,3272,4.0,Vespa LX 50,Two Stroke Gasoline,Vespa
7051,8753,4.0,Futura Hawk LI,Electric,Futura
24150,30219,4.0,Kymco Newsento,Gasoline,Kymco
970,1217,4.0,Yamaha NEOs 50,Gasoline,Yamaha
7247,9008,4.0,IO 1500 GT,Electric,IO
2550,3144,4.0,TGB Tapo RS,Two Stroke Gasoline,TGB
21061,26298,4.0,Zündapp ZXM 125,Gasoline,Zündapp
1979,2463,4.0,SYM Jet 50,Gasoline,SYM
2440,3014,4.0,Zhejiang,Gasoline,Zhejiang
21703,27092,4.0,Benda,Gasoline,Benda
2276,2823,4.0,Aprilia RS 50,Gasoline,Aprilia
8612,10713,4.0,Honda SJ 50 Bali,Gasoline,Honda
1350,1685,4.0,Tauris Fiera 50 Xtreme,Two Stroke Gasoline,Tauris
22859,28569,4.0,Adly GTA,Gasoline,Adly
1475,1846,4.0,Askoll eS3,Electric,Askoll
1499,1878,4.0,Piaggio NRG Power,Gasoline,Piaggio
10082,12550,4.0,Askoll EVOlution,Electric,Askoll
3665,4569,3.0,Vespa Sprint,Gasoline,Vespa
6007,7467,3.0,Yamaha DT 50,Two Stroke Gasoline,Yamaha
5291,6578,3.0,Niu M1,Electric,Niu
5017,6241,3.0,Futura Classico LI,Electric,Futura
4754,5914,3.0,Malaguti,Gasoline,Malaguti
6331,7863,3.0,AGM City,Gasoline,AGM
25608,32089,3.0,Tauris Samba 50,Two Stroke Gasoline,Tauris
25932,32494,3.0,YCF Start F125,Gasoline,YCF
5090,6335,3.0,Kreidler Jigger 50,Gasoline,Kreidler
12355,15382,3.0,Luxxon YX9,Gasoline,Luxxon
12668,15760,3.0,Kymco K-Pipe 50,Gasoline,Kymco
25977,32555,3.0,Mash Fifty,Gasoline,Mash
13737,17077,3.0,Askoll eSpro 70,Electric,Askoll
2,2,3.0,Nova Motors Retro Star,Gasoline,Nova
6034,7498,3.0,Sachs/SFM Speedjet 50,Gasoline,Sachs/SFM
5721,7099,3.0,Gilera RCR 50,Two Stroke Gasoline,Gilera
5206,6472,3.0,Rolektro Eco-Fun,Others,Rolektro
18012,22473,3.0,Super Soco,Electric,Super
7135,8865,3.0,KSR Moto Sirion 50,Gasoline,KSR
3442,4297,3.0,Derbi DRD,Gasoline,Derbi
7325,9099,3.0,Unu Motors Unu,Electric,Unu
7201,8948,3.0,Gilera SMT 50,Two Stroke Gasoline,Gilera
10473,13039,3.0,Kymco Sento 50,Gasoline,Kymco
25024,31329,3.0,Generic XOR 50,Gasoline,Generic
4197,5225,3.0,Bimota KB 3,Gasoline,Bimota
14699,18296,3.0,Peugeot NK7,Two Stroke Gasoline,Peugeot
517,644,3.0,Nova Motors Retro Cruiser,Gasoline,Nova
19709,24589,3.0,Yamaha NEOs 4Takt,Gasoline,Yamaha
992,1241,3.0,SXT Gekko V2,Electric,SXT
24174,30249,3.0,Yamaha WHY 50,Gasoline,Yamaha
16884,21057,3.0,Motorhispania Furia Max,Gasoline,Motorhispania
1066,1339,3.0,Aprilia RX 50,Two Stroke Gasoline,Aprilia
2717,3368,3.0,REX,Gasoline,REX
21085,26329,3.0,MBK Nitro,Two Stroke Gasoline,MBK
16960,21152,3.0,Aprilia RS4 50,Gasoline,Aprilia
3035,3774,3.0,Super Soco TS,Electric,Super
17103,21328,3.0,Piaggio Zip II 25,Gasoline,Piaggio
6490,8056,3.0,Alfa Scooters,Gasoline,Alfa
3306,4121,3.0,Lifan,Electric,Lifan
24844,31103,3.0,Peugeot Buxy,Gasoline,Peugeot
942,1185,3.0,Keeway Agora,Gasoline,Keeway
24568,30756,3.0,Kymco Maxxer 50,Two Stroke Gasoline,Kymco
985,1234,3.0,SYM Crox 50,Gasoline,SYM
984,1233,3.0,Derbi X-Treme,Two Stroke Gasoline,Derbi
2968,3692,3.0,Longjia Digita 50,Two Stroke Gasoline,Longjia
10513,13093,3.0,Kreidler Florett 50,Gasoline,Kreidler
666,838,3.0,Aprilia SX 50,Gasoline,Aprilia
701,881,3.0,Yamaha BWs,Two Stroke Gasoline,Yamaha
15263,19007,3.0,Benelli Quattronove X,Gasoline,Benelli
6720,8350,3.0,Rieju Tango 50,Gasoline,Rieju
15290,19043,3.0,Keeway Goccia 50,Gasoline,Keeway
15406,19175,3.0,Keeway Hurricane,Gasoline,Keeway
6945,8622,3.0,Aprilia RC 50,Two Stroke Gasoline,Aprilia
6700,8328,3.0,Znen B Eyas,Gasoline,Znen
6895,8564,3.0,Adly ATV 50,Gasoline,Adly
7146,8881,3.0,Vespa 125,Gasoline,Vespa
21919,27381,3.0,Kumpan Electric 1953,Electric,Kumpan
2130,2651,3.0,Yamaha Aerox,Gasoline,Yamaha
8445,10510,3.0,Beta Minitrial 50,Gasoline,Beta
8575,10670,3.0,Kymco DJ 50,Gasoline,Kymco
1557,1950,3.0,Kymco Like 50,Gasoline,Kymco
15695,19529,3.0,Kreidler Flory 50,Others,Kreidler
10141,12626,3.0,Peugeot V-Clic 50,Gasoline,Peugeot
23702,29650,3.0,Pegasus Sky 50,Gasoline,Pegasus
2149,2675,3.0,Askoll eS1,Electric,Askoll
7977,9924,3.0,Sherco 50 SM-R,Two Stroke Gasoline,Sherco
7913,9839,3.0,Scarabeo Scarabeo 50,Gasoline,Scarabeo
15741,19582,3.0,Keeway SWAN,Gasoline,Keeway
22368,27951,3.0,Tomos,Gasoline,Tomos
22350,27930,3.0,Garelli Tiesse,Gasoline,Garelli
22446,28051,3.0,Baotian BT50QT,Gasoline,Baotian
8336,10376,3.0,REX RS 425/450,Gasoline,REX
21641,27013,3.0,KSR Moto Vionis,Electric,KSR
21751,27157,3.0,Alisze Tooby,Gasoline,Alisze
1744,2174,3.0,Emco Novette,Electric,Emco
1718,2142,3.0,Piaggio Ape,Gasoline,Piaggio
9805,12196,3.0,Motobi BC1 One,Gasoline,Motobi
22801,28500,3.0,Explorer Bullet 50,Gasoline,Explorer
1603,2003,3.0,Vespa PK 50,Gasoline,Vespa
9290,11575,3.0,Yamaha NEOs Easy,Two Stroke Gasoline,Yamaha
8525,10607,3.0,Garelli,Gasoline,Garelli
8747,10882,3.0,Others Rizzato,Two Stroke Gasoline,Others
9100,11331,3.0,AJS,Gasoline,AJS
9441,11762,3.0,Vespa Sprint 50,Gasoline,Vespa
8944,11133,3.0,Scott,Two Stroke Gasoline,Scott
22882,28598,3.0,Tauris Brio 50 4T,Gasoline,Tauris
14496,18036,3.0,Benelli 49X,Gasoline,Benelli
11484,14289,3.0,Rolektro Retro-Light,Electric,Rolektro
5412,6733,3.0,Baotian BT49QT-7,Gasoline,Baotian
14462,17994,3.0,Emco Novantic,Electric/Gasoline,Emco
5805,7202,3.0,SYM Jet 4,Gasoline,SYM
13508,16790,3.0,Motowell Elenor,Gasoline,Motowell
85,108,1.0,Kymco People S 200i,Gasoline,Kymco
55,73,1.0,Access,Electric,Access
35,43,1.0,Yamaha RD 350,Two Stroke Gasoline,Yamaha
27328,34246,1.0,Aeon Mini Kolt,Two Stroke Gasoline,Aeon
27350,34274,1.0,TM SMX 450 Fi,Gasoline,TM
27842,34890,1.0,Moto Morini 500 S,Gasoline,Moto
14268,17742,1.0,Gas Gas,Gasoline,Gas
14485,18022,1.0,Triumph T 500,Gasoline,Triumph
14604,18175,1.0,Motowell Gamini,Gasoline,Motowell
14696,18291,1.0,Beta Evo 80,Two Stroke Gasoline,Beta
283,342,1.0,Nova Motors,Electric,Nova
241,289,1.0,Peugeot Kisbee,Gasoline,Peugeot
186,229,1.0,Others,Gasoline,Others
190,234,1.0,Luxxon,Electric,Luxxon
26660,33400,1.0,Qingqi QM 50,Two Stroke Gasoline,Qingqi
160,200,1.0,Yamaha Slider 50,Two Stroke Gasoline,Yamaha
22770,28452,1.0,SWM Gran Milano 440,Gasoline,SWM
16239,20229,1.0,BMW R 75/7,Gasoline,BMW
1524,1908,1.0,Honda Vision 50,Gasoline,Honda
1477,1848,1.0,Beta RR Motard,Two Stroke Gasoline,Beta
23209,29026,1.0,KTM 250 SX,Gasoline,KTM
1326,1657,1.0,Piaggio Zip 25,Gasoline,Piaggio
10266,12768,1.0,Moto Guzzi Zigolo,Gasoline,Moto
16281,20285,1.0,Emco Novax,Electric,Emco
16451,20507,1.0,Vespa GT,Two Stroke Gasoline,Vespa
2000,2487,1.0,Beta,Gasoline,Beta
22440,28043,1.0,Yamaha EC 03,Electric,Yamaha
1716,2139,1.0,Fantic 50M,Gasoline,Fantic
1733,2160,1.0,Quadro Quadro4,Gasoline,Quadro
2438,3012,1.0,Moto Guzzi Falcone,Gasoline,Moto
