osmid,y,x,street_count,highway,ref,junction,railway,geometry
7841685880,15.9043178,108.2382019,1,,,,,POINT (108.2382019 15.9043178)
7841685881,15.9049304,108.2381954,3,,,,,POINT (108.2381954 15.9049304)
7841685882,15.9029797,108.2396683,3,,,,,POINT (108.2396683 15.9029797)
7841685883,15.9036717,108.2395834,3,,,,,POINT (108.2395834 15.9036717)
7841685884,15.9037284,108.2403463,3,,,,,POINT (108.2403463 15.9037284)
7841685889,15.9048901,108.2378541,3,,,,,POINT (108.2378541 15.9048901)
7841685890,15.9053832,108.2376561,1,,,,,POINT (108.2376561 15.9053832)
7841685894,15.8997997,108.2472356,1,,,,,POINT (108.2472356 15.8997997)
7841685898,15.8994273,108.2473217,3,,,,,POINT (108.2473217 15.8994273)
7841685907,15.899482,108.2476795,3,,,,,POINT (108.2476795 15.899482)
7841685908,15.8991613,108.2469553,1,,,,,POINT (108.2469553 15.8991613)
7841685917,15.9039722,108.248751,1,,,,,POINT (108.248751 15.9039722)
7841685918,15.9044636,108.248696,3,,,,,POINT (108.248696 15.9044636)
7841685921,15.8967197,108.2499956,1,,,,,POINT (108.2499956 15.8967197)
7841685940,15.8920479,108.2298361,1,,,,,POINT (108.2298361 15.8920479)
7841685954,15.888404,108.2377371,1,,,,,POINT (108.2377371 15.888404)
7841685955,15.8890631,108.2377559,1,,,,,POINT (108.2377559 15.8890631)
7841685978,15.8901746,108.2402293,3,,,,,POINT (108.2402293 15.8901746)
7841685979,15.8902576,108.2396543,1,,,,,POINT (108.2396543 15.8902576)
7841685980,15.8920647,108.2439841,3,,,,,POINT (108.2439841 15.8920647)
7841685981,15.8922491,108.243632,1,,,,,POINT (108.243632 15.8922491)
7841690691,15.8461938,108.2650213,1,,,,,POINT (108.2650213 15.8461938)
7841690692,15.8460295,108.2647002,3,,,,,POINT (108.2647002 15.8460295)
7841690708,15.8447452,108.2637842,3,,,,,POINT (108.2637842 15.8447452)
7841690756,15.850139,108.2600337,1,,,,,POINT (108.2600337 15.850139)
7841690768,15.852081,108.2594456,3,,,,,POINT (108.2594456 15.852081)
7841690772,15.8505675,108.2513312,3,,,,,POINT (108.2513312 15.8505675)
7841690786,15.8534795,108.2533233,3,,,,,POINT (108.2533233 15.8534795)
7841712626,15.6062941,108.1738153,3,,,,,POINT (108.1738153 15.6062941)
7841712630,15.6072708,108.1806635,3,,,,,POINT (108.1806635 15.6072708)
7841718728,15.8890414,108.1619428,3,,,,,POINT (108.1619428 15.8890414)
7841732523,15.8898706,108.1771669,1,,,,,POINT (108.1771669 15.8898706)
7841732578,15.900594,108.1747155,1,,,,,POINT (108.1747155 15.900594)
7841737730,15.7798412,108.3871088,1,,,,,POINT (108.3871088 15.7798412)
7841737742,15.7790853,108.3862492,3,,,,,POINT (108.3862492 15.7790853)
7841737743,15.7796051,108.3847377,1,,,,,POINT (108.3847377 15.7796051)
7841737750,15.7804959,108.3850376,3,,,,,POINT (108.3850376 15.7804959)
7841737764,15.7800184,108.3853669,3,,,,,POINT (108.3853669 15.7800184)
7841737765,15.7796122,108.3850227,1,,,,,POINT (108.3850227 15.7796122)
7841737779,15.7797755,108.3850186,1,,,,,POINT (108.3850186 15.7797755)
7841738787,15.7799433,108.3853304,3,,,,,POINT (108.3853304 15.7799433)
7841738800,15.7803839,108.3854984,3,,,,,POINT (108.3854984 15.7803839)
7841738850,15.7778383,108.385891,1,,,,,POINT (108.385891 15.7778383)
7841738862,15.7780181,108.3851449,3,,,,,POINT (108.3851449 15.7780181)
7841738863,15.7781145,108.3861552,1,,,,,POINT (108.3861552 15.7781145)
7841738870,15.7782971,108.3872201,1,,,,,POINT (108.3872201 15.7782971)
7841738887,15.7790632,108.3862306,3,,,,,POINT (108.3862306 15.7790632)
7841738888,15.7785624,108.3879778,1,,,,,POINT (108.3879778 15.7785624)
