stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
hanoi_stop_8739945230,Khu CN Sài Đồng - Hanel - Đối diện 523 Nguyễn Văn Linh,,21.031790,105.909710,,
hanoi_stop_481836709,Đường vào đường Thạch Bàn - đối diện 693 Nguyễn Văn Linh,,21.029660,105.914629,,
hanoi_stop_8739945231,Đối diện Công ty May 10 - Nguyễn Văn Linh,,21.028113,105.919992,,
hanoi_stop_8739945232,Qua ngã 3 Cầu Thanh Trì - Nguyễn Đức Thuận,,21.023372,105.931996,,
hanoi_stop_2517061523,Đối diện bưu điện Trâu Quỳ - Nguyễn Đức Thuận,,21.022090,105.934992,,
hanoi_stop_8739945233,36 Ngô Xuân Quảng,,21.018571,105.937036,,
hanoi_stop_8739945234,234 Ngô Xuân Quảng,,21.013295,105.936089,,
hanoi_stop_8739945235,Số 14 đường Học viện Nông nghiệp,,21.008846,105.933909,,
hanoi_stop_8739945237,Công ty Tư vấn dịch vụ khoa học Nông nghiệp - Ngô Xuân Quảng,,21.008887,105.934020,,
hanoi_stop_8739945238,285 Ngô Xuân Quảng,,21.013560,105.936280,,
hanoi_stop_8739945239,139 Ngô Xuân Quảng,,21.017378,105.936871,,
hanoi_stop_8739945240,Bưu điện Trâu Quỳ - Nguyễn Đức Thuận,,21.021458,105.937564,,
hanoi_stop_481837399,Gần ngã ba Cầu Thanh Trì - Nguyễn Đức Thuận,,21.023737,105.932123,,
hanoi_stop_481836829,Qua ngã 3 cầu Thanh Trì - Nguyễn Văn Linh,,21.027375,105.923223,,
hanoi_stop_8739945241,Công ty May 10 - Nguyễn Văn Linh,,21.028891,105.918332,,
hanoi_stop_995292341,Gần đường vào Công ty X22 - 705 Nguyễn Văn Linh,,21.029927,105.914838,,
hanoi_stop_995292569,Công ty Thí nghiệm miền Bắc - 465 Nguyễn Văn Linh,,21.032930,105.907936,,
hanoi_stop_481836891,UBND phường Phúc Đồng - 274 Nguyễn Văn Linh,,21.038583,105.898535,,
hanoi_stop_481836920,105-107 Nguyễn Văn Linh,,21.045044,105.895332,,
hanoi_stop_8739945242,Hè trước Savico Megamall - Nguyễn Văn Linh,,21.050512,105.892018,,
hanoi_stop_8739945243,MediaMart Long Biên - Nguyễn Văn Linh,,21.053500,105.889841,,
hanoi_stop_481837098,589 Nguyễn Văn Cừ,,21.052335,105.885787,,
hanoi_stop_8739945244,549 Nguyễn Văn Cừ (cột sau),,21.049489,105.883215,,
hanoi_stop_8739945245,171-173 Ngọc Lâm (Công an phường Ngọc Lâm),,21.045795,105.869766,,
hanoi_stop_5483657862,Đối diện chùa Ái Mộ,,21.041919,105.865203,,
hanoi_stop_481837251,Trần Nhật Duật (373 Hồng Hà) - Gần Hàm Tử Quan,,21.037805,105.852952,,
hanoi_stop_5362040321,40 Ngô Quyền - TT Giao Dịch Công Nghệ,,21.022864,105.854444,,
hanoi_stop_738815124,Thư viện Hà Nội - 54E Trần Hưng Đạo,,21.021581,105.850665,,
hanoi_stop_8739945246,Ga Hà Nội - 120 Lê Duẩn,,21.023367,105.841406,,
hanoi_stop_738815783,54 Lý Thường Kiệt,,21.024841,105.845568,,
hanoi_stop_6206929385,KS Melia (Lý Thường Kiệt),,21.024168,105.847835,,
hanoi_stop_10069898861,Bến xe Gia Lâm,,21.048230,105.878443,,
hanoi_stop_738813565,34-36 Tăng Bạt Hổ,,21.016498,105.858488,,
hanoi_stop_738813238,172 Lò Đúc (Cửa hàng xe máy Hon Đa),,21.011484,105.859140,,
hanoi_stop_8213181379,86 Kim Ngưu,,21.006789,105.860837,,
hanoi_stop_446044211,Tập thể E6 Quỳnh Mai - Kim Ngưu,,21.002032,105.861295,,
hanoi_stop_446044163,Cửa hàng nhựa đường số 3 - 344 Kim Ngưu,,20.997758,105.861759,,
hanoi_stop_8741080046,20 Lĩnh Nam,,20.990472,105.864419,,
hanoi_stop_738814388,Đối diện 123 Lĩnh Nam - Thôn Tân Khai,,20.986325,105.869306,,
hanoi_stop_8741080047,Đối diện số 271 Lĩnh Nam,,20.984130,105.873945,,
hanoi_stop_8741080048,Trường Trung học phổ thông Hoàng Văn Thụ,,20.982847,105.877349,,
hanoi_stop_8741080049,376-378 Lĩnh Nam,,20.981191,105.881506,,
