,Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Score
249,TOYOTA,GR YARIS,"1.6L,TURBOCHARGED INLINE-3",1618,268,230,5.5,"$45,000",Petrol,4,390,
250,HYUNDAI,SANTA FE,1.6L PETROL + PLUG IN HYBRID SYSTEM,1600,253,180,9.3,"$50,000",Petrol/Hybrid,7,420,
251,HYUNDAI,IONIQ 5,ELECTRIC MOTOR,72.6,225,185,7.4,"$41,000",Electric,5,350,
252,HYUNDAI,Santa Cruz,2.5L Turbocharged Inline-4,2500,281,215,6.5,"$40,799",Petrol,5,400,
253,HYUNDAI,Kona,1.6L PETROL,1591,147,185,10,"$20,500",Petrol/EV,5,400,
254,HYUNDAI,Elantra,2.0L Inline-4,2000,147,210,8.3,"$19,950",Petrol/Hybrid,5,250,
255,Nissan,Urvan,2.5L Turbo Diese,,2488,140,14,"$28,000",Diesel,15,356,
256,HYUNDAI,IONIQ 6,Electric Motor,53.6,320,185,5.2,"$41,450",Electric,5,350,
257,HYUNDAI,Tucson,2.5L Inline-4,2500,187,180,6.1,"$30,500",Petrol/Hybrid,5,400,0.3
258,HYUNDAI,Palisade,3.8L V6,3800,291,240,6.3,"$52,000",Petrol,7,355,
259,HYUNDAI,Sonata,2.5L Inline-4,2500,191,240,8,"$25,000",Petrol/Hybrid,5,250,
260,HYUNDAI,Accent,1.6L Inline-4,1600,120,180,9.8,"$15,000",Petrol,5,151,
